"","V1","V2","V3","V4","V5","V6","V7","V8"
"144",0,0.513072404537274,0.719596406366476,0.867470398241272,0.921117538046736,0.955164861127541,0.970981196932877,1
"347",0,0.507851135965866,0.71921278161849,0.8734922606738,0.922765648686269,0.955830601006197,0.970574840372676,1
"107",0,0.514106660282419,0.716861406525184,0.865652024864046,0.919631959042475,0.955065492152763,0.971303018158434,1
"320",0,0.514378758962447,0.720224584592951,0.867889809444653,0.921221606771209,0.955304554319213,0.9710945201231,1
"208",0,0.317009936964956,0.486371794097495,0.681980773324149,0.789175685856855,0.848422422944969,0.879132150510599,1
"48",0,0.522492612520125,0.726600091327316,0.87278676202463,0.923778110497173,0.957810929890371,0.973202827120688,1
"156",0,0.503946637724588,0.715563128011149,0.86849873661418,0.92029615913745,0.955014479379619,0.970217393351999,1
"129",0,0.526805257823624,0.731457071638547,0.878052853844222,0.927324258121382,0.959284032887234,0.973878344002804,1
"289",0,0.493592154904185,0.700474538842556,0.855883910722062,0.91142578378375,0.949476749267196,0.966592071996424,1
"386",0,0.519190840835144,0.724644362733437,0.872915345321105,0.923608534458938,0.957080151209703,0.972167204158109,1
"51",0,0.510328509994264,0.718486155645423,0.86871916560832,0.920418473755793,0.955092271471592,0.970254964990905,1
"109",0,0.448604793592636,0.662670473871233,0.828896612334248,0.893340441872902,0.935243028841844,0.953785403018626,1
"148",0,0.522955464292739,0.724792622485911,0.872023836007541,0.923071608840701,0.957244657612667,0.972949490858975,1
"260",0,0.497627738968594,0.70530237684131,0.860127089676184,0.913727432365048,0.950609040454754,0.967076820018674,1
"77",0,0.521065825683351,0.725087092384321,0.872489427595519,0.923803707575694,0.957285602259071,0.972737367143456,1
"191",0,0.506265924091491,0.712290172097306,0.862507121899143,0.917725823453293,0.953107114439876,0.969259676502617,1
"241",0,0.4471611574389,0.664510348736119,0.825224903006332,0.889234096741176,0.933686250583919,0.952937074070139,1
"378",0,0.228534993885989,0.3700397295324,0.583172611853269,0.70167314073691,0.764086616473571,0.790423346626824,1
"11",0,0.510978453879642,0.716765495678178,0.867290430966234,0.920048419068348,0.954962509065622,0.970860766086583,1
"67",0,0.507588496245914,0.717458739506212,0.874913340579009,0.923728018122445,0.956968845357941,0.971613853064841,1
"263",0,0.518915828199336,0.724161069419869,0.871189147262525,0.92330476870359,0.956712745675696,0.972241148552764,1
"299",0,0.388950297938857,0.580871077643387,0.773833432724964,0.855844646419697,0.906344059122139,0.93085015655009,1
"60",0,0.519473309023699,0.724267033331755,0.871728446247378,0.923413981979319,0.956968167914176,0.972425824444133,1
"90",0,0.475737089026666,0.686462629882419,0.844540145784202,0.904895599250205,0.944388411539504,0.962303323654846,1
"321",0,0.52411089384632,0.729981604683919,0.87760742857779,0.926361260401997,0.958939405947464,0.973606303013425,1
"366",0,0.502806840781853,0.705199216508966,0.857357943724759,0.914632155541747,0.951818386870841,0.968849895671278,1
"179",0,0.38353432492266,0.582216145720144,0.776484638592505,0.85653863311614,0.90784647539023,0.93243201222498,1
"105",0,0.523252312167201,0.727947297026349,0.875591638486961,0.925602025285989,0.958377675465495,0.973142062664271,1
"392",0,0.426107009629447,0.635144956674729,0.807573932878553,0.877911263564768,0.922294408702431,0.943553943281955,1
"138",0,0.523505078080875,0.728486527472507,0.876252366248305,0.925571317428246,0.958707800150591,0.973383572004492,1
"331",0,0.499903672317769,0.712029459100919,0.866787172090648,0.917430219228133,0.953852153622306,0.969433002322851,1
"139",0,0.515829529580517,0.721890956745085,0.870279011166913,0.922684439272687,0.956339521341035,0.972042976596042,1
"10",0,0.282886986009656,0.441650914109056,0.650084589533194,0.763026928159994,0.823925523567003,0.853466300977463,1
"31",0,0.49911837702947,0.707718607694611,0.859314013164522,0.914309551552675,0.950903694738346,0.96750712737337,1
"287",0,0.50773861810851,0.712635816848875,0.864707278963106,0.917857698531232,0.954051980778323,0.970099492488017,1
"350",0,0.524572903796912,0.729630554463876,0.876188651070689,0.92611793985017,0.958470863970525,0.973450392797618,1
"398",0,0.524265438205055,0.729216384198768,0.875829741092134,0.925894592549548,0.958456996684271,0.973334755341001,1
"294",0,0.515522410568114,0.72146076054394,0.869006386055605,0.921877769039697,0.955811562919568,0.971501225591417,1
"193",0,0.513069767903562,0.718258111103032,0.866778142149513,0.920185878411543,0.954759194310649,0.970640048783111,1
"178",0,0.343508895129668,0.535525545321999,0.734052415928287,0.828536139536516,0.883452188208941,0.911377287975433,1
"325",0,0.483927836132251,0.69163357038155,0.850977888435341,0.908080518225178,0.946365855495748,0.963796336390795,1
