"","V1","V2","V3"
"1",0,0.996882708876869,1
"2",0,0.997532224781054,1
"4",0,0.495303958907124,1
"5",0,0.360089413485883,1
"7",0,0.998141142316161,1
"8",0,0.996271208930941,1
"9",0,0.967844979914088,1
"10",0,0.656247786555834,1
"11",0,0.997947116249494,1
"12",0,0.0643452691026964,1
"13",0,0.946189978670144,1
"14",0,0.999402502920557,1
"15",0,0.965173673947113,1
"16",0,0.20058654244026,1
"18",0,0.999311815752718,1
"19",0,0.992999927900573,1
"23",0,0.897749362547307,1
"24",0,0.109814545522306,1
"26",0,0.996129355320905,1
"27",0,0.940712233895781,1
"28",0,0.940126952208543,1
"29",0,0.956580937512087,1
"30",0,0.314432628278322,1
"31",0,0.959810065190573,1
"32",0,0.978465575625596,1
"34",0,0.419327218342366,1
"35",0,0.998688390897128,1
"38",0,0.169644939281243,1
"40",0,0.999998765230177,1
"41",0,0.401734591680988,1
"43",0,0.999086336567184,1
"44",0,0.995424337772029,1
"45",0,0.317393283255735,1
"46",0,0.987858676254092,1
"48",0,0.989630664151082,1
"50",0,0.999711393829188,1
"51",0,0.92314427564755,1
"53",0,0.143350762566562,1
"56",0,0.991474589454755,1
"57",0,0.996524462391899,1
"58",0,0.56645449689602,1
"59",0,0.999842441339901,1
"60",0,0.998972864608298,1
"61",0,0.989985725024935,1
"62",0,0.974778690942981,1
"67",0,0.0735688675460916,1
"68",0,0.894016838445654,1
"70",0,0.692207830241155,1
"71",0,0.999100435724313,1
"72",0,0.905517157401524,1
"73",0,0.206504979004064,1
"74",0,0.997029419451532,1
"75",0,0.999353506261718,1
"76",0,0.945777225205949,1
"77",0,0.999821552680475,1
"80",0,0.140004362395676,1
"81",0,0.988006099537741,1
"83",0,0.540527844043388,1
"84",0,0.993891435095902,1
"86",0,0.999999958688732,1
"87",0,0.930781771685474,1
"88",0,0.994118030873626,1
"89",0,0.880307704108392,1
"91",0,0.936119820269304,1
"92",0,0.98630882249071,1
"93",0,0.770269192629561,1
"94",0,0.998380671833669,1
"95",0,0.99943284623297,1
"96",0,0.999585029127059,1
"97",0,0.999980014149856,1
"98",0,0.998136067711375,1
"99",0,0.927099243162421,1
"100",0,0.998836092101722,1
"101",0,0.996447328917061,1
"102",0,0.997721916253353,1
"103",0,0.940072550559202,1
"104",0,0.999743920822246,1
"105",0,0.999891966203777,1
"106",0,0.997370012612337,1
"107",0,0.991847557825697,1
"108",0,0.981384083874142,1
"109",0,0.966484589427715,1
"110",0,0.997981019727169,1
"111",0,0.997433104004083,1
"112",0,0.999242590847427,1
"113",0,0.995442956261871,1
"114",0,0.564859860659562,1
"115",0,0.99835268515558,1
"116",0,0.166717150428293,1
"117",0,0.99957811877108,1
"118",0,0.971569130622862,1
"119",0,0.98842479792654,1
"120",0,0.909558662265391,1
"121",0,0.985422217141318,1
"122",0,0.966152308164751,1
"123",0,0.870150595203678,1
"124",0,0.990926772950994,1
"125",0,0.987234503995663,1
"126",0,0.951948628201773,1
"128",0,0.979090418008613,1
"129",0,0.998932592516885,1
"130",0,0.999858359231186,1
"131",0,0.961337279675721,1
"132",0,0.921629429248255,1
"135",0,0.999223279300611,1
"136",0,0.990623682826495,1
"137",0,0.998479965634046,1
"138",0,0.56888437837274,1
"139",0,0.999923511991843,1
"140",0,0.996992704715359,1
"141",0,0.963680138726847,1
"142",0,0.982172923603765,1
"143",0,0.987745133410882,1
"145",0,0.98080892886161,1
"146",0,0.999280200236834,1
"147",0,0.997464230246687,1
"148",0,0.997465087627174,1
"149",0,0.999597077506504,1
"150",0,0.999999375697778,1
"151",0,0.983175503264098,1
"152",0,0.913159526926555,1
"153",0,0.99651152533514,1
"156",0,0.995727260217368,1
"157",0,0.998429199607479,1
"160",0,0.272517277350185,1
"161",0,0.989165956197929,1
"162",0,0.999315869727612,1
"163",0,0.104680847473529,1
"164",0,0.986537976403494,1
"165",0,0.999915186531984,1
"166",0,0.998582980731837,1
"168",0,0.0810148135738739,1
"169",0,0.999946375469894,1
"170",0,0.981271433323666,1
"171",0,0.986201359060997,1
"173",0,0.970372189278996,1
"174",0,0.906026934373065,1
"175",0,0.998796512868763,1
"176",0,0.999230616478952,1
"177",0,0.998949294426099,1
"178",0,0.378044700023456,1
"180",0,0.988032160083863,1
"182",0,0.97148815930886,1
"183",0,0.994397839935903,1
"184",0,0.948194554481538,1
"185",0,0.258994087691654,1
"186",0,0.818254041646514,1
"187",0,0.943229929792977,1
"191",0,0.994719941004222,1
"192",0,0.999379235215309,1
"193",0,0.998538300729104,1
"194",0,0.998024070743867,1
"195",0,0.999925923759883,1
"196",0,0.939375594747154,1
"197",0,0.995051469425158,1
"199",0,0.974320382359897,1
"200",0,0.871462456353214,1
"201",0,0.999848589778937,1
"203",0,0.963940835922603,1
"204",0,0.985100433718091,1
"205",0,0.0838731825915378,1
"207",0,0.308306824956191,1
"208",0,0.326854461233989,1
"209",0,0.990550012628904,1
"210",0,0.999999690847961,1
"211",0,0.998675914261375,1
"212",0,0.987801598647105,1
"213",0,0.999859434797142,1
"214",0,0.235068174483339,1
"216",0,0.235729878472963,1
"217",0,0.13324840006631,1
"218",0,0.941518921587385,1
"219",0,0.990717851314533,1
"220",0,0.978436343745644,1
"221",0,0.0987906511683107,1
"222",0,0.487953864425999,1
"223",0,0.326681927356729,1
"224",0,0.965722851419014,1
"225",0,0.837457287639125,1
"226",0,0.964273742992836,1
"227",0,0.994959478637279,1
"230",0,0.987592264145606,1
"231",0,0.999911563346811,1
"232",0,0.999772064300003,1
"233",0,0.934957960210138,1
"234",0,0.97852397326972,1
"235",0,0.459979379659351,1
"236",0,0.807171492403793,1
"238",0,0.899736022539544,1
"239",0,0.986910021984905,1
"240",0,0.997912433069459,1
"241",0,0.601740231427214,1
"242",0,0.990132935856371,1
"243",0,0.996217795801469,1
"244",0,0.994463475586974,1
"245",0,0.995126090491714,1
"246",0,0.979318771174871,1
"247",0,0.996081669814076,1
"248",0,0.948850040777851,1
"249",0,0.0449549861808905,1
"250",0,0.992973438260402,1
"252",0,0.123056200542919,1
"253",0,0.995401024724406,1
"254",0,0.967599049848988,1
"255",0,0.996353912609614,1
"258",0,0.997391140700016,1
"259",0,0.959474523479098,1
"261",0,0.996747667817313,1
"262",0,0.741123122884666,1
"263",0,0.9879046292436,1
"264",0,0.990342921765501,1
"265",0,0.999903227097734,1
"266",0,0.988352128550722,1
"267",0,0.999480969782633,1
"268",0,0.671316143538885,1
"269",0,0.882801773859881,1
"270",0,0.998869115512117,1
"271",0,0.998511687078378,1
"272",0,0.999728647798708,1
"273",0,0.998689079654282,1
"276",0,0.99414536760295,1
"277",0,0.99484317857531,1
"278",0,0.812865849027185,1
"279",0,0.997407873134971,1
"280",0,0.972378195642431,1
"282",0,0.948863774192119,1
"284",0,0.99266761384413,1
"285",0,0.102371312812021,1
"286",0,0.907164666640131,1
"287",0,0.943535807585862,1
"288",0,0.995263979327283,1
"289",0,0.987819724499463,1
"290",0,0.951635176423051,1
"292",0,0.999641952698877,1
"293",0,0.998389554463341,1
"294",0,0.999370510234848,1
"296",0,0.983815011200556,1
"297",0,0.99805270362344,1
"298",0,0.959307483837377,1
"299",0,0.66495656022167,1
"300",0,0.896719781855206,1
"301",0,0.999858786321194,1
"302",0,0.636548661194715,1
"303",0,0.996932478081877,1
"305",0,0.999999999984,1
"306",0,0.396710609020815,1
"307",0,0.543301948027231,1
"308",0,0.105659043978305,1
"309",0,0.982685323161554,1
"310",0,0.90516468238007,1
"311",0,0.9920911185495,1
"312",0,0.228265620576356,1
"314",0,0.0879544582938039,1
"317",0,0.983381226695125,1
"318",0,0.999489715572367,1
"319",0,0.894373664265053,1
"320",0,0.996694200018097,1
"321",0,0.0929736889944368,1
"322",0,0.0397442915183856,1
"323",0,0.96434357402475,1
"324",0,0.305048143533917,1
"325",0,0.940956020237343,1
"326",0,0.149314386937638,1
"329",0,0.37655238925415,1
"330",0,0.999170308435377,1
"331",0,0.0121903198021061,1
"333",0,0.563384352825615,1
"335",0,0.106231731043196,1
"337",0,0.978580701863559,1
"338",0,0.852460455735257,1
"339",0,0.997534765975667,1
"341",0,0.999906304150815,1
"344",0,0.210372717855381,1
"345",0,0.999903226359484,1
"346",0,0.994391785513096,1
"348",0,0.288129349285186,1
"349",0,0.807379346350582,1
"350",0,0.953065709685118,1
"351",0,0.943333684543957,1
"352",0,0.00855025455117169,1
"353",0,0.931597649439922,1
"354",0,0.955427965901411,1
"355",0,0.104192629156914,1
"356",0,0.996795049748374,1
"357",0,0.152534803554562,1
"359",0,0.942293089247394,1
"360",0,0.862230810074502,1
"361",0,0.999516344370301,1
"362",0,0.98833775941369,1
"363",0,0.994335718503674,1
"364",0,0.687330793460411,1
"365",0,0.801672162843423,1
"366",0,0.994294344396399,1
"367",0,0.240423793046737,1
"370",0,0.484058227216439,1
"372",0,0.997773504094272,1
"373",0,0.903447279266097,1
"375",0,0.815907695712523,1
"376",0,0.997706979443798,1
"377",0,0.99439530520518,1
"378",0,0.134935248540093,1
"380",0,0.999856484456134,1
"381",0,0.0899765560948286,1
"382",0,0.999426290968952,1
"383",0,0.945912001351361,1
"384",0,0.998301732918328,1
"385",0,0.283097389425641,1
"386",0,0.931281464314799,1
"387",0,0.999978774121515,1
"388",0,0.999887185409901,1
"389",0,0.996110795368983,1
"390",0,0.965418726732477,1
"391",0,0.999528062824105,1
"393",0,0.999690528975216,1
"394",0,0.999848239266531,1
"395",0,0.992136629756425,1
"396",0,0.988830119581544,1
"399",0,0.972470028970236,1
"400",0,0.956486499057548,1
"401",0,0.998095060580229,1
"402",0,0.949769123679727,1
"403",0,0.973591012692337,1
"405",0,0.993671335878893,1
"406",0,0.664848524647373,1
"407",0,0.965249143664993,1
