"","V1","V2","V3","V4","V5","V6","V7","V8"
"169",0,0.276131374942616,0.466983925412868,0.600549795306807,0.701360312596983,0.810270901168686,0.916728709696365,1
"336",0,0.729276068469153,0.860857354164357,0.913918145753754,0.943131808670654,0.967905733675307,0.987300272372303,1
"403",0,0.287994329958682,0.481591160070909,0.614518192818382,0.713485312749285,0.819114473591171,0.921093346720846,1
"9",0,0.124623656051014,0.246404913036132,0.359423811782178,0.467088076893334,0.614471894003888,0.804252145696253,1
"143",0,0.426696679066395,0.630912839470235,0.74576435378974,0.820858626846633,0.892847527101662,0.955515041824548,1
"252",0,0.529345522084752,0.720912732007038,0.815929146668073,0.873805592538354,0.926424584034782,0.970112104327161,1
"66",0,0.304462946200796,0.501335379286469,0.633057181443364,0.729360854408161,0.830527399410105,0.926648137330591,1
"322",0,0.500314920167705,0.696933153770415,0.797823981005895,0.860419289933633,0.918096759393631,0.966550625752553,1
"247",0,0.655664121045414,0.813893055617694,0.882417044166406,0.921401858048729,0.955192425865215,0.982127747026317,1
"353",0,0.515995088021383,0.710019471072082,0.807755561239605,0.867785541924397,0.922692620453033,0.968520804862775,1
"220",0,0.655173075628448,0.8135634934324,0.882191261567468,0.92124425289539,0.955099275772704,0.982089542595615,1
"377",0,0.523346447495299,0.716045595930284,0.812287585346242,0.871128182058608,0.924767448437265,0.969406446718895,1
"153",0,0.586270313037942,0.764955815967848,0.848136275493673,0.897162346886653,0.940703219377465,0.976130832303885,1
"316",0,0.437444362117174,0.641052658706199,0.753979275345043,0.827209286958705,0.896966471955399,0.957340143342409,1
"116",0,0.328035200246688,0.52856670288303,0.658002337294412,0.750341058973506,0.845328201263735,0.933724175106573,1
"80",0,0.334733843834804,0.53609334721164,0.664773095352487,0.755961723350494,0.849240052471634,0.935570773745651,1
"216",0,0.511394802647074,0.706213342536602,0.804879729517546,0.865658362260753,0.92136878763573,0.967954490921102,1
"154",0,0.152342775010953,0.292170267512713,0.414630953869819,0.525271915838297,0.668001793389693,0.838362940297698,1
"42",0,0.536483360387904,0.726645586493212,0.820197019460727,0.876933941865872,0.928355464007445,0.970932441903173,1
"19",0,0.64992527939843,0.810027243539136,0.879764337304111,0.919548473910984,0.954096144310325,0.98167783580717,1
"375",0,0.580761635496726,0.760855808791696,0.845193595806639,0.895052100235516,0.939426114714361,0.975596956228542,1
"333",0,0.724239850564018,0.857791598831296,0.911901845732456,0.941756173286465,0.967108477138306,0.986978315674405,1
"382",0,0.741119605668744,0.867986536526547,0.918585790712834,0.946308453155063,0.969742908740887,0.988040961268394,1
"92",0,0.536723735959676,0.726837558387443,0.820339535822966,0.877038229067346,0.928419733021273,0.9709597118291,1
"137",0,0.578043452864686,0.758820379822866,0.843728558106077,0.89399973069779,0.938788276967366,0.975329992224888,1
"327",0,0.633862536079754,0.799039127044047,0.872173319965651,0.914224315858077,0.950936308764841,0.98037756437962,1
"233",0,0.370472110181725,0.574756476927487,0.698738440737555,0.783694097913537,0.868220146900589,0.944393820576026,1
"41",0,0.442548304735099,0.645805045658606,0.757801416538786,0.830150026784933,0.898865156157443,0.958178145763157,1
"57",0,0.602876501483024,0.777116572705278,0.856799068824304,0.903347234280216,0.944431654329752,0.977684509998881,1
"256",0,0.57800421397981,0.758790936917433,0.843707345727379,0.893984484734405,0.938779031775947,0.975326121101055,1
"215",0,0.429606797947735,0.633676288908301,0.748011336604696,0.82259979061672,0.893979366537948,0.956017539636591,1
"275",0,0.696076218042963,0.840259296658897,0.900264940054329,0.933776352466991,0.962463659269906,0.985096200595378,1
"100",0,0.586113490484661,0.764839556061589,0.848052986588544,0.897102683976735,0.940667146797096,0.97611576454296,1
"329",0,0.758858616349877,0.878458029514163,0.925388685568285,0.950918641212377,0.972399601373621,0.98910905610296,1
"164",0,0.368421554053246,0.572603677859554,0.696882283345448,0.78219821759671,0.867209766680913,0.943929760302721,1
"7",0,0.659433315918945,0.816415195021818,0.884142731788314,0.922605573354423,0.955903411576978,0.982419202069822,1
"50",0,0.536498660182712,0.726657807519259,0.820206092891144,0.876940581743777,0.928359556151577,0.970934178303958,1
"73",0,0.402667729148397,0.607571289570256,0.726537941503349,0.805832597266977,0.882999120321763,0.951111035675981,1
"40",0,0.593984279403602,0.770641569720873,0.85219865973772,0.900067797422446,0.942457418776344,0.976862741032258,1
"326",0,0.678370681089188,0.828888547497627,0.892619690545888,0.928495908487433,0.959371115046083,0.983836992542665,1
"379",0,0.552125195735974,0.738992284014381,0.829310809670126,0.883580074718056,0.932438546058066,0.972660485266658,1
