"","V1","V2","V3","V4","V5","V6","V7","V8"
"382",0,0.581445885087774,0.836621571826154,0.953765799392775,0.976644445184183,0.991964155825877,0.994633788058786,1
"162",0,0.480517410482137,0.739989330327528,0.905604792014421,0.950995475571994,0.98233839489964,0.987762829165167,1
"190",0,0.535365747739158,0.791375793535766,0.924997096666752,0.961991809891051,0.986640691867099,0.991136280573104,1
"348",0,0.14421938026486,0.30045885001468,0.534397719724127,0.69712043443348,0.85114380200094,0.896179456012728,1
"404",0,0.586773642746198,0.858334716999751,0.96261436556656,0.981427534981952,0.993972031393179,0.995834420419591,1
"392",0,0.249681535501842,0.426514997494875,0.590511952438204,0.717805277281125,0.822946607725575,0.863159163647689,1
"5",0,0.379573159530453,0.650316140838036,0.832171261371248,0.90757218298697,0.955456273174678,0.96843611926186,1
"342",0,0.500948886935917,0.728602861772754,0.877117387561238,0.936985863830973,0.975324021066316,0.983916190394091,1
"154",0,0.13226206085791,0.29349195344998,0.539510285464535,0.699742497510173,0.873479126562483,0.909723274023329,1
"146",0,0.594385055297233,0.864209594256744,0.963470940573415,0.982379670939333,0.993942486511303,0.995875737794085,1
"334",0,0.558230548690505,0.812444405916582,0.9402882734972,0.969238358048856,0.989658406137715,0.99313113016771,1
"244",0,0.624431565304883,0.832587860487353,0.944150388316614,0.976240330757934,0.991460446642598,0.994702742800832,1
"386",0,0.565964888415648,0.809359514008591,0.938191544593538,0.968757749001193,0.988812984490767,0.992788867074596,1
"282",0,0.565927346463236,0.800722248426104,0.924348130664036,0.96470502795568,0.986789665722822,0.991755184592989,1
"393",0,0.640410531551902,0.837379122900061,0.945615372668239,0.978735237508617,0.992928545217891,0.995684478213145,1
"234",0,0.444964814122194,0.725307359183923,0.897201357497932,0.947941764443487,0.979873769424567,0.986770512695731,1
"322",0,0.547649369797675,0.796688687961235,0.935715923508251,0.967088159186678,0.987789578549049,0.991635742199911,1
"171",0,0.500789597090535,0.722197494127518,0.871094873380761,0.931110562349834,0.968919816643947,0.979273854153435,1
"129",0,0.476540755295374,0.791666216848278,0.938314447488003,0.969071059582543,0.989605124451069,0.992921048044667,1
"102",0,0.609404992196343,0.84797977597946,0.95296978261046,0.979534456959552,0.992578623937274,0.995177524309825,1
"318",0,0.524202784791295,0.781076007198336,0.920210336979405,0.958594259153474,0.982000086150923,0.986963218235438,1
"189",0,0.545365031507502,0.776893197165757,0.916175956133522,0.958177610730459,0.984922741416818,0.990597728479549,1
"293",0,0.570153393785298,0.805958520247239,0.933656853428345,0.967966953077526,0.987741837181994,0.992150144370832,1
"250",0,0.457615835742349,0.64519168445964,0.807148688007367,0.896906149060823,0.95374791272545,0.970256382407925,1
"64",0,0.57016597837432,0.744991143729896,0.883414328883902,0.946860542861339,0.979864312331441,0.988403485363234,1
"332",0,0.552229872238215,0.753879732650663,0.898227186326674,0.949926720356797,0.980731952990382,0.988049964375288,1
"9",0,0.418957233992739,0.663034180530026,0.849696058849425,0.922342458258468,0.969178112133084,0.979482256430514,1
"242",0,0.546229236448819,0.814063397169137,0.941887591497614,0.969153418544603,0.98890713445905,0.992457136413833,1
"149",0,0.51286582167441,0.790395599998975,0.926491201527478,0.960984223044217,0.986112289017578,0.990260092905291,1
"254",0,0.175411002050047,0.392873766975703,0.657348401584128,0.808082706620056,0.914757579405736,0.94348935117027,1
"80",0,0.233147794939933,0.353729688457942,0.506077370248776,0.631878136099162,0.761621864981988,0.813640738476396,1
"224",0,0.509449975158899,0.737976148542378,0.889827489558153,0.940233312424615,0.975060198296323,0.983925084714695,1
"308",0,0.0389665687530547,0.0783580458002037,0.161717297096818,0.258506646422461,0.448524220526245,0.553748152379828,1
"57",0,0.561426428096545,0.809133943342307,0.934103205103037,0.967474117373929,0.988166165800773,0.992385563268432,1
"60",0,0.44935890854812,0.740188913981074,0.905362178755436,0.951431057641812,0.98071939652494,0.986971645175107,1
"1",0,0.594559209886453,0.859960296358905,0.963089120068169,0.982791626604063,0.994603726144634,0.996327661917949,1
"20",0,0.152613950422983,0.287403757268869,0.503171967629817,0.67826238806807,0.843072201428324,0.898980770637681,1
"286",0,0.476190743410318,0.723010026470208,0.876664501240758,0.931647784035163,0.971658415290516,0.98058889478423,1
"267",0,0.643681322669445,0.845412263578046,0.944633947200921,0.978983251519279,0.992547769658719,0.99544241330024,1
"289",0,0.540601222924993,0.787979416384089,0.922370428185737,0.961342064613032,0.986810808154291,0.991262181247807,1
"120",0,0.132860162787991,0.242986118426667,0.420699558071024,0.603820963449882,0.788639140090133,0.86116680797701,1
