"","V1","V2","V3"
"304",0,0.904444125291265,1
"171",0,0.980339174874119,1
"81",0,0.985194449322232,1
"293",0,0.975979100003313,1
"357",0,0.753065678546234,1
"209",0,0.768627458758891,1
"132",0,0.930200151013855,1
"301",0,0.999031596956822,1
"104",0,0.454947906235029,1
"394",0,0.979715518770166,1
"318",0,0.969063163211047,1
"93",0,0.418483545970261,1
"356",0,0.991789145689096,1
"127",0,0.962097341643761,1
"136",0,0.886776473227721,1
"353",0,0.952764376840595,1
"43",0,0.991922141262791,1
"277",0,0.994557192360087,1
"228",0,0.969264762391967,1
"35",0,0.997843490427806,1
"34",0,0.548078362894555,1
"107",0,0.936592820650143,1
"281",0,0.912604177275822,1
"170",0,0.940632040573021,1
"257",0,0.999239327556999,1
"71",0,0.989746385908241,1
"78",0,0.92550115471873,1
"321",0,0.980655972531973,1
"39",0,0.989836695422014,1
"322",0,0.49622173069085,1
"162",0,0.995666778426809,1
"21",0,0.974612789350546,1
"103",0,0.750832105189316,1
"242",0,0.988700531737041,1
"371",0,0.995517209002699,1
"252",0,0.916035044996427,1
"317",0,0.978580516959887,1
"179",0,0.941156338323079,1
"262",0,0.968286288149234,1
"115",0,0.943955480982878,1
"372",0,0.991783699802495,1
