"","V1","V2","V3","V4","V5","V6","V7","V8"
"295",0,0.106963777764085,0.229928460378519,0.420298945050663,0.696180105689922,0.814378329879219,0.884228566687611,1
"228",0,0.608353711245695,0.743194526799532,0.854959984222986,0.920446725532781,0.963683801926827,0.979595745353159,1
"64",0,0.729616691326077,0.849621378651855,0.951228477580404,0.985731176298012,0.995055794552077,0.997299282140674,1
"127",0,0.65559442544943,0.884859586225655,0.981942367506339,0.993405993395342,0.998473814575975,0.998855634436457,1
"291",0,0.306902872481444,0.658863516003215,0.874463453025185,0.971198285315199,0.984452050147944,0.988178229051141,1
"55",0,0.492826981882422,0.644407628229992,0.794145836943851,0.888732938674301,0.946926150736267,0.96729954157661,1
"155",0,0.0373513116434269,0.0894198759655312,0.147513652979883,0.324081364819166,0.440876327720108,0.475889710105721,1
"304",0,0.499440722400742,0.810459837147101,0.94026368815447,0.989651185130831,0.993959352574867,0.995165283711045,1
"215",0,0.515914430851009,0.739886246280151,0.911773653746727,0.95691612035994,0.987358277157495,0.991515959949094,1
"78",0,0.385345538461606,0.662836633055814,0.830403285365911,0.937600434403221,0.963116566886189,0.971543208013488,1
"379",0,0.759470181851102,0.922710453666616,0.986987932174947,0.997308594143326,0.998963374621085,0.999321272818502,1
"313",0,0.32713503696307,0.489125685284308,0.666997245125261,0.831961682962797,0.910409891223654,0.935826305928763,1
"167",0,0.222043506648505,0.451294506213917,0.717031546360218,0.895281394216092,0.945133947306097,0.964063644732431,1
"6",0,0.405809517256289,0.859794816726156,0.977804212662354,0.994474832643408,0.99800785942116,0.998275517364035,1
"274",0,0.828444300809604,0.918123398560561,0.96077806145032,0.986239877677941,0.992495562833664,0.995316377854915,1
"332",0,0.616261543399133,0.734932602273357,0.865759236161641,0.925137356360429,0.974448905420691,0.985728111375349,1
"37",0,0.68118068804176,0.852078637268492,0.944735759292276,0.981806308939858,0.990863650352422,0.993983987702677,1
"283",0,0.542916140657801,0.871984585400523,0.991187418717579,0.998360448130248,0.999637358684897,0.999721963138091,1
"275",0,0.332115461556671,0.77182193217645,0.978658962379416,0.993753708619527,0.999001502069733,0.999182942816977,1
"22",0,0.386782940434139,0.732053969738106,0.894544718783415,0.974923277404762,0.985580606157376,0.9895440037479,1
"256",0,0.633349080481658,0.781780192912259,0.940099418162076,0.966367613151732,0.994262732899208,0.996012849993028,1
"79",0,0.805370159064395,0.925723400074943,0.977216005154005,0.994779254302203,0.997323259973823,0.998206708855873,1
"20",0,0.0879494762092749,0.170852395870906,0.496637216251015,0.703881181848803,0.90785343644653,0.941185842057709,1
"260",0,0.474906741772845,0.636885437639838,0.781641838554552,0.864877004109492,0.940357453179527,0.954118424882733,1
"69",0,0.584937436980734,0.764123112669538,0.863791876749018,0.942890722286679,0.970054147658358,0.978279983073838,1
"42",0,0.497388051368028,0.756757354840144,0.944073310199195,0.981304398361167,0.995034025209737,0.996452739155278,1
"133",0,0.659636677026398,0.833407829992226,0.949401852411388,0.97487545412187,0.993304174921596,0.995495519645111,1
"343",0,0.138073630514463,0.389825341319857,0.588019693936292,0.845277780249773,0.898412545125157,0.913816016352657,1
"368",0,0.0744978014326313,0.176558407763034,0.436701669244756,0.521957511381391,0.889995314268121,0.906382079483577,1
"327",0,0.513181708323902,0.899430289626772,0.992960183430329,0.998624127817495,0.999667305453877,0.99975866629199,1
"52",0,0.634998501976171,0.907928813459637,0.990014477541712,0.997979034560718,0.999454402804393,0.999606046743925,1
"398",0,0.810853838221621,0.976399785431494,0.99816526881755,0.999755262321785,0.999912085513471,0.99993009471618,1
"188",0,0.402228265813165,0.604376376565761,0.788109219995312,0.859101278562161,0.962947523529895,0.974435926416059,1
"237",0,0.102743295498238,0.155762186100466,0.295583271732818,0.433663832639253,0.693607342158968,0.763984659999778,1
"336",0,0.704473174341787,0.946925520169125,0.997278010809245,0.999546590092722,0.999909161243867,0.999932097857459,1
"47",0,0.189551235173839,0.37746971037597,0.596515924996647,0.886614514347323,0.93591793237401,0.954290795440146,1
"202",0,0.717219256083929,0.837348264974542,0.924985577200515,0.961579466145802,0.983351805392898,0.989915671450874,1
"90",0,0.829409098596373,0.963886552975752,0.995226841099828,0.999291529635221,0.999743697782443,0.999813811766815,1
"179",0,0.431219966695188,0.766821672198866,0.964178375935758,0.988941098603582,0.997516402841691,0.998143066427318,1
"206",0,0.176231246983548,0.293258713765469,0.525986986404504,0.680186552743296,0.865496021426585,0.918594197330366,1
"198",0,0.0360709792978796,0.0520435938401166,0.0737423553313053,0.112517552339751,0.192921537929087,0.234471313277461,1
